Tag,Description,Type,Area,Category,SAP MAPPING ,Upper Limit,Low Limit
PC.PMO.DULG-DP-B.DCS.MEMBRANE:QT6090.PNT,CO2 ANALYZER,Process,Fuel Gas,CONCENTRATION,DLIB-V6070-PK,55,45
PC.PMO.DULG-DP-B.DCS.B_FILTER:B_AIT7271.PNT,FINE FILTER CHLORINE ANALYZER,Instrument,WIM,DENSITY,DLIB-F727-PK,100,0
PC.PMO.DULG-DP-B.DCS.B_FILTER:B_AIT7271.PNT,FINE FILTER CHLORINE ANALYZER,System/Equipment,WIM,DENSITY,DLIB-F727-PK,100,0
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FICA5100.MEAS,P-510 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FICA5110.MEAS,P-511 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FICA5120.MEAS,P-512 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FQI5100.MEAS,,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FQI5110.MEAS,,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FQI5120.MEAS,,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FT5100.MEAS,P-510 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FT5100.PNT,P-510 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FT5110.MEAS,P-511 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
PC.PMO.DULG-DP-B.DCS.B_SURGE_ABC:B_FT5110.PNT,P-511 FLOW IND,Process,Metering,FLOW,DLIB-MT515/6-PK,148,14
