,Time,Failure,Countdown
0,2019-05-01,NO,17
1,2019-05-02,NO,16
2,2019-05-03,NO,15
3,2019-05-04,NO,14
4,2019-05-05,NO,13
5,2019-05-06,NO,12
6,2019-05-07,NO,11
7,2019-05-08,NO,10
8,2019-05-09,NO,9
9,2019-05-10,NO,8
10,2019-05-11,NO,7
11,2019-05-12,NO,6
12,2019-05-13,NO,5
13,2019-05-14,NO,4
14,2019-05-15,NO,3
15,2019-05-16,NO,2
16,2019-05-17,NO,1
17,2019-05-18,YES,0
18,2019-05-19,NO,6
19,2019-05-20,NO,5
20,2019-05-21,NO,4
21,2019-05-22,NO,3
22,2019-05-23,NO,2
23,2019-05-24,NO,1
24,2019-05-25,YES,0
25,2019-05-26,NO,4
26,2019-05-27,NO,3
27,2019-05-28,NO,2
28,2019-05-29,NO,1
29,2019-05-30,YES,0
30,2019-05-31,NO,19
31,2019-06-01,NO,18
32,2019-06-02,NO,17
33,2019-06-03,NO,16
34,2019-06-04,NO,15
35,2019-06-05,NO,14
36,2019-06-06,NO,13
37,2019-06-07,NO,12
38,2019-06-08,NO,11
39,2019-06-09,NO,10
40,2019-06-10,NO,9
41,2019-06-11,NO,8
42,2019-06-12,NO,7
43,2019-06-13,NO,6
44,2019-06-14,NO,5
45,2019-06-15,NO,4
46,2019-06-16,NO,3
47,2019-06-17,NO,2
48,2019-06-18,NO,1
49,2019-06-19,YES,0
50,2019-06-20,NO,10
51,2019-06-21,NO,9
52,2019-06-22,NO,8
53,2019-06-23,NO,7
54,2019-06-24,NO,6
55,2019-06-25,NO,5
56,2019-06-26,NO,4
57,2019-06-27,NO,3
58,2019-06-28,NO,2
59,2019-06-29,NO,1
60,2019-06-30,YES,0
61,2019-07-01,NO,40
62,2019-07-02,NO,39
63,2019-07-03,NO,38
64,2019-07-04,NO,37
65,2019-07-05,NO,36
66,2019-07-06,NO,35
67,2019-07-07,NO,34
68,2019-07-08,NO,33
69,2019-07-09,NO,32
70,2019-07-10,NO,31
71,2019-07-11,NO,30
72,2019-07-12,NO,29
73,2019-07-13,NO,28
74,2019-07-14,NO,27
75,2019-07-15,NO,26
76,2019-07-16,NO,25
77,2019-07-17,NO,24
78,2019-07-18,NO,23
79,2019-07-19,NO,22
80,2019-07-20,NO,21
81,2019-07-21,NO,20
82,2019-07-22,NO,19
83,2019-07-23,NO,18
84,2019-07-24,NO,17
85,2019-07-25,NO,16
86,2019-07-26,NO,15
87,2019-07-27,NO,14
88,2019-07-28,NO,13
89,2019-07-29,NO,12
90,2019-07-30,NO,11
91,2019-07-31,NO,10
92,2019-08-01,NO,9
93,2019-08-02,NO,8
94,2019-08-03,NO,7
95,2019-08-04,NO,6
96,2019-08-05,NO,5
97,2019-08-06,NO,4
98,2019-08-07,NO,3
99,2019-08-08,NO,2
100,2019-08-09,NO,1
101,2019-08-10,YES,0
102,2019-08-11,NO,1
103,2019-08-12,YES,0
104,2019-08-13,NO,12
105,2019-08-14,NO,11
106,2019-08-15,NO,10
107,2019-08-16,NO,9
108,2019-08-17,NO,8
109,2019-08-18,NO,7
110,2019-08-19,NO,6
111,2019-08-20,NO,5
112,2019-08-21,NO,4
113,2019-08-22,NO,3
114,2019-08-23,NO,2
115,2019-08-24,NO,1
116,2019-08-25,YES,0
117,2019-08-26,NO,7
118,2019-08-27,NO,6
119,2019-08-28,NO,5
120,2019-08-29,NO,4
121,2019-08-30,NO,3
122,2019-08-31,NO,2
123,2019-09-01,NO,1
124,2019-09-02,YES,0
125,2019-09-03,NO,188
126,2019-09-04,NO,187
127,2019-09-05,NO,186
128,2019-09-06,NO,185
129,2019-09-07,NO,184
130,2019-09-08,NO,183
131,2019-09-09,NO,182
132,2019-09-10,NO,181
133,2019-09-11,NO,180
134,2019-09-12,NO,179
135,2019-09-13,NO,178
136,2019-09-14,NO,177
137,2019-09-15,NO,176
138,2019-09-16,NO,175
139,2019-09-17,NO,174
140,2019-09-18,NO,173
141,2019-09-19,NO,172
142,2019-09-20,NO,171
143,2019-09-21,NO,170
144,2019-09-22,NO,169
145,2019-09-23,NO,168
146,2019-09-24,NO,167
147,2019-09-25,NO,166
148,2019-09-26,NO,165
149,2019-09-27,NO,164
150,2019-09-28,NO,163
151,2019-09-29,NO,162
152,2019-09-30,NO,161
153,2019-10-01,NO,160
154,2019-10-02,NO,159
155,2019-10-03,NO,158
156,2019-10-04,NO,157
157,2019-10-05,NO,156
158,2019-10-06,NO,155
159,2019-10-07,NO,154
160,2019-10-08,NO,153
161,2019-10-09,NO,152
162,2019-10-10,NO,151
163,2019-10-11,NO,150
164,2019-10-12,NO,149
165,2019-10-13,NO,148
166,2019-10-14,NO,147
167,2019-10-15,NO,146
168,2019-10-16,NO,145
169,2019-10-17,NO,144
170,2019-10-18,NO,143
171,2019-10-19,NO,142
172,2019-10-20,NO,141
173,2019-10-21,NO,140
174,2019-10-22,NO,139
175,2019-10-23,NO,138
176,2019-10-24,NO,137
177,2019-10-25,NO,136
178,2019-10-26,NO,135
179,2019-10-27,NO,134
180,2019-10-28,NO,133
181,2019-10-29,NO,132
182,2019-10-30,NO,131
183,2019-10-31,NO,130
184,2019-11-01,NO,129
185,2019-11-02,NO,128
186,2019-11-03,NO,127
187,2019-11-04,NO,126
188,2019-11-05,NO,125
189,2019-11-06,NO,124
190,2019-11-07,NO,123
191,2019-11-08,NO,122
192,2019-11-09,NO,121
193,2019-11-10,NO,120
194,2019-11-11,NO,119
195,2019-11-12,NO,118
196,2019-11-13,NO,117
197,2019-11-14,NO,116
198,2019-11-15,NO,115
199,2019-11-16,NO,114
200,2019-11-17,NO,113
201,2019-11-18,NO,112
202,2019-11-19,NO,111
203,2019-11-20,NO,110
204,2019-11-21,NO,109
205,2019-11-22,NO,108
206,2019-11-23,NO,107
207,2019-11-24,NO,106
208,2019-11-25,NO,105
209,2019-11-26,NO,104
210,2019-11-27,NO,103
211,2019-11-28,NO,102
212,2019-11-29,NO,101
213,2019-11-30,NO,100
214,2019-12-01,NO,99
215,2019-12-02,NO,98
216,2019-12-03,NO,97
217,2019-12-04,NO,96
218,2019-12-05,NO,95
219,2019-12-06,NO,94
220,2019-12-07,NO,93
221,2019-12-08,NO,92
222,2019-12-09,NO,91
223,2019-12-10,NO,90
224,2019-12-11,NO,89
225,2019-12-12,NO,88
226,2019-12-13,NO,87
227,2019-12-14,NO,86
228,2019-12-15,NO,85
229,2019-12-16,NO,84
230,2019-12-17,NO,83
231,2019-12-18,NO,82
232,2019-12-19,NO,81
233,2019-12-20,NO,80
234,2019-12-21,NO,79
235,2019-12-22,NO,78
236,2019-12-23,NO,77
237,2019-12-24,NO,76
238,2019-12-25,NO,75
239,2019-12-26,NO,74
240,2019-12-27,NO,73
241,2019-12-28,NO,72
242,2019-12-29,NO,71
243,2019-12-30,NO,70
244,2019-12-31,NO,69
245,2020-01-01,NO,68
246,2020-01-02,NO,67
247,2020-01-03,NO,66
248,2020-01-04,NO,65
249,2020-01-05,NO,64
250,2020-01-06,NO,63
251,2020-01-07,NO,62
252,2020-01-08,NO,61
253,2020-01-09,NO,60
254,2020-01-10,NO,59
255,2020-01-11,NO,58
256,2020-01-12,NO,57
257,2020-01-13,NO,56
258,2020-01-14,NO,55
259,2020-01-15,NO,54
260,2020-01-16,NO,53
261,2020-01-17,NO,52
262,2020-01-18,NO,51
263,2020-01-19,NO,50
264,2020-01-20,NO,49
265,2020-01-21,NO,48
266,2020-01-22,NO,47
267,2020-01-23,NO,46
268,2020-01-24,NO,45
269,2020-01-25,NO,44
270,2020-01-26,NO,43
271,2020-01-27,NO,42
272,2020-01-28,NO,41
273,2020-01-29,NO,40
274,2020-01-30,NO,39
275,2020-01-31,NO,38
276,2020-02-01,NO,37
277,2020-02-02,NO,36
278,2020-02-03,NO,35
279,2020-02-04,NO,34
280,2020-02-05,NO,33
281,2020-02-06,NO,32
282,2020-02-07,NO,31
283,2020-02-08,NO,30
