,Time,Failure,Countdown
0,2019-05-01,NO,17
1,2019-05-02,NO,16
2,2019-05-03,NO,15
3,2019-05-04,NO,14
4,2019-05-05,NO,13
5,2019-05-06,NO,12
6,2019-05-07,NO,11
7,2019-05-08,NO,10
8,2019-05-09,NO,9
9,2019-05-10,NO,8
10,2019-05-11,NO,7
11,2019-05-12,NO,6
12,2019-05-13,NO,5
13,2019-05-14,NO,4
14,2019-05-15,NO,3
15,2019-05-16,NO,2
16,2019-05-17,NO,1
17,2019-05-18,YES,0
18,2019-05-19,NO,6
19,2019-05-20,NO,5
20,2019-05-21,NO,4
21,2019-05-22,NO,3
22,2019-05-23,NO,2
23,2019-05-24,NO,1
24,2019-05-25,YES,0
25,2019-05-26,NO,4
26,2019-05-27,NO,3
27,2019-05-28,NO,2
28,2019-05-29,NO,1
29,2019-05-30,YES,0
30,2019-05-31,NO,19
31,2019-06-01,NO,18
32,2019-06-02,NO,17
33,2019-06-03,NO,16
34,2019-06-04,NO,15
35,2019-06-05,NO,14
36,2019-06-06,NO,13
37,2019-06-07,NO,12
38,2019-06-08,NO,11
39,2019-06-09,NO,10
40,2019-06-10,NO,9
41,2019-06-11,NO,8
42,2019-06-12,NO,7
43,2019-06-13,NO,6
44,2019-06-14,NO,5
45,2019-06-15,NO,4
46,2019-06-16,NO,3
47,2019-06-17,NO,2
48,2019-06-18,NO,1
49,2019-06-19,YES,0
50,2019-06-20,NO,10
51,2019-06-21,NO,9
52,2019-06-22,NO,8
53,2019-06-23,NO,7
54,2019-06-24,NO,6
55,2019-06-25,NO,5
56,2019-06-26,NO,4
57,2019-06-27,NO,3
58,2019-06-28,NO,2
59,2019-06-29,NO,1
60,2019-06-30,YES,0
